order_id,order_date,customer_id,country,city,channel,product_id,category,subcategory,unit_price,quantity,discount,revenue,cost
O1,2024-09-29 00:00:00,C11295,Netherlands,Amsterdam,Web,P1191,Fashion,Accessories,1380.31,3,0.03,4002.68,2378.79
O2,2024-03-07 00:00:00,C11757,India,Hyderabad,Web,P1022,Electronics,Laptops,340.25,1,0.0,340.25,188.44
O3,2024-10-20 00:00:00,C11039,Brazil,São Paulo,Mobile App,P1257,Sports,Athleisure,904.25,1,0.0,904.25,709.88
O3,2024-10-20 00:00:00,C11039,Brazil,São Paulo,Mobile App,P1151,Fashion,Men,314.83,2,0.0,629.67,475.47
O3,2024-10-20 00:00:00,C11039,Brazil,São Paulo,Mobile App,P1167,Fashion,Women,215.04,2,0.13,374.36,270.83
O4,2024-08-24 00:00:00,C10825,Germany,Berlin,Mobile App,P1113,Home,Kitchen,1080.58,4,0.06,4043.38,3447.59
O5,2024-07-01 00:00:00,C11718,USA,Seattle,Web,P1278,Beauty,Skincare,922.74,1,0.0,922.74,624.06
O6,2023-12-08 00:00:00,C10444,Germany,Berlin,Web,P1075,Electronics,Audio,1025.41,3,0.0,3076.23,1855.53
O7,2024-07-18 00:00:00,C11065,Netherlands,Utrecht,Web,P1222,Sports,Fitness,160.52,1,0.0,160.52,110.19
O7,2024-07-18 00:00:00,C11065,Netherlands,Utrecht,Web,P1145,Fashion,Men,54.54,6,0.0,327.23,227.53
O8,2023-12-31 00:00:00,C10216,Australia,Sydney,Marketplace,P1131,Home,Decor,308.54,2,0.0,617.08,390.34
O9,2023-05-06 00:00:00,C11683,UK,Leeds,Mobile App,P1000,Electronics,Phones,459.62,2,0.0,919.25,605.86
O10,2023-02-27 00:00:00,C10202,Canada,Calgary,Mobile App,P1163,Fashion,Women,565.58,4,0.0,2262.31,1599.2
O11,2023-09-16 00:00:00,C11353,India,Mumbai,Marketplace,P1155,Fashion,Men,237.59,1,0.0,237.59,146.47
O11,2023-09-16 00:00:00,C11353,India,Mumbai,Marketplace,P1040,Electronics,Accessories,140.2,1,0.01,138.67,98.24
O12,2024-07-11 00:00:00,C10708,Australia,Melbourne,Web,P1009,Electronics,Phones,1003.45,2,0.0,2006.9,1599.14
O12,2024-07-11 00:00:00,C10708,Australia,Melbourne,Web,P1176,Fashion,Women,773.65,2,0.0,1547.3,1071.15
O12,2024-07-11 00:00:00,C10708,Australia,Melbourne,Web,P1097,Home,Furniture,667.52,1,0.07,618.14,492.28
O13,2024-03-12 00:00:00,C11481,Canada,Toronto,Marketplace,P1144,Fashion,Men,313.84,1,0.0,313.84,241.51
O13,2024-03-12 00:00:00,C11481,Canada,Toronto,Marketplace,P1287,Beauty,Makeup,613.84,1,0.05,583.22,410.69
O13,2024-03-12 00:00:00,C11481,Canada,Toronto,Marketplace,P1258,Sports,Athleisure,755.01,4,0.0,3020.03,2192.61
O14,2024-03-10 00:00:00,C10097,Australia,Melbourne,Web,P1285,Beauty,Makeup,63.6,1,0.0,63.6,43.69
O14,2024-03-10 00:00:00,C10097,Australia,Melbourne,Web,P1029,Electronics,Laptops,48.6,3,0.0,145.8,96.93
O15,2024-06-29 00:00:00,C11770,Canada,Vancouver,Web,P1239,Sports,Fitness,218.92,2,0.0,437.84,284.63
O15,2024-06-29 00:00:00,C11770,Canada,Vancouver,Web,P1007,Electronics,Phones,1047.57,1,0.0,1047.57,831.02
O15,2024-06-29 00:00:00,C11770,Canada,Vancouver,Web,P1060,Electronics,Audio,414.73,1,0.13,362.82,237.3
O16,2024-05-27 00:00:00,C11101,Netherlands,Rotterdam,Retail Store,P1300,Beauty,Haircare,65.5,1,0.0,65.5,47.29
O16,2024-05-27 00:00:00,C11101,Netherlands,Rotterdam,Retail Store,P1055,Electronics,Accessories,1232.82,2,0.09,2236.35,1469.84
O17,2023-10-30 00:00:00,C10077,Australia,Melbourne,Mobile App,P1153,Fashion,Men,620.11,1,0.09,564.08,420.38
O17,2023-10-30 00:00:00,C10077,Australia,Melbourne,Mobile App,P1238,Sports,Fitness,641.58,1,0.0,641.58,369.69
